Time,Average Power (mW)
05-10-2024 06:52:32,7776.904545454546
05-10-2024 06:53:02,7834.082949308756
05-10-2024 06:53:32,7794.2307692307695
05-10-2024 06:54:02,7782.185520361991
05-10-2024 06:54:32,7799.463636363636
05-10-2024 06:55:02,7787.238738738739
05-10-2024 06:55:32,7786.054794520548
05-10-2024 06:56:02,7831.935483870968
05-10-2024 06:56:32,7797.714932126697
05-10-2024 06:57:02,7783.986301369863
05-10-2024 06:57:32,7790.827272727272
05-10-2024 06:58:02,7788.990867579909
05-10-2024 06:58:32,7792.972972972973
05-10-2024 06:59:02,7784.040358744394
05-10-2024 06:59:32,7812.524886877828
05-10-2024 07:00:02,7799.745454545455
05-10-2024 07:00:32,7782.659090909091
05-10-2024 07:01:02,7798.623853211009
05-10-2024 07:01:32,7770.844036697248
05-10-2024 07:02:02,7800.5158371040725
05-10-2024 07:02:32,7830.131221719457
05-10-2024 07:03:02,7795.15
05-10-2024 07:03:32,7789.274774774774
05-10-2024 07:04:02,7798.684931506849
05-10-2024 07:04:32,7778.5
05-10-2024 07:05:02,7794.331838565023
05-10-2024 07:05:32,7793.116591928251
05-10-2024 07:06:02,7841.617117117117
05-10-2024 07:06:32,7785.164383561644
05-10-2024 07:07:02,7779.204545454545
05-10-2024 07:07:32,7795.287671232877
05-10-2024 07:08:02,7802.190045248869
05-10-2024 07:08:32,7786.7972972972975
05-10-2024 07:09:02,7831.334862385321
05-10-2024 07:09:32,7799.513636363637
05-10-2024 07:10:02,7796.736363636363
05-10-2024 07:10:32,7791.303167420814
05-10-2024 07:11:02,7787.645454545454
05-10-2024 07:11:32,7796.736363636363
05-10-2024 07:12:02,7792.865470852018
05-10-2024 07:12:32,7826.045662100457
05-10-2024 07:13:02,7800.886363636364
05-10-2024 07:13:32,7787.474885844749
05-10-2024 07:14:02,7793.493150684932
05-10-2024 07:14:32,7797.635944700461
05-10-2024 07:15:02,7796.615384615385
05-10-2024 07:15:32,7802.613636363636
05-10-2024 07:16:02,7835.55
05-10-2024 07:16:32,7795.895454545454
05-10-2024 07:17:02,7788.397260273972
05-10-2024 07:17:32,7785.918918918919
05-10-2024 07:18:02,7795.860360360361
05-10-2024 07:18:32,7796.686363636363
05-10-2024 07:19:02,7794.8493150684935
05-10-2024 07:19:32,7846.139639639639
05-10-2024 07:20:02,7793.936073059361
05-10-2024 07:20:32,7769.930555555556
05-10-2024 07:21:02,7774.823529411765
05-10-2024 07:21:32,7791.100917431193
05-10-2024 07:22:02,7800.869369369369
05-10-2024 07:22:32,7796.045454545455
05-10-2024 07:23:02,7838.527272727273
05-10-2024 07:23:32,7787.825112107624
05-10-2024 07:24:02,7798.828828828829
05-10-2024 07:24:32,7786.931192660551
05-10-2024 07:25:02,7849.5161290322585
05-10-2024 07:25:32,7792.604545454546
05-10-2024 07:26:02,7798.977375565611
05-10-2024 07:26:32,7843.253393665158
05-10-2024 07:27:02,7784.35
05-10-2024 07:27:32,7789.711009174312
05-10-2024 07:28:02,7794.836363636364
05-10-2024 07:28:32,7790.050925925926
05-10-2024 07:29:02,7781.146118721461
05-10-2024 07:29:32,7799.05
05-10-2024 07:30:02,7836.595454545454
05-10-2024 07:30:32,7785.171945701358
05-10-2024 07:31:02,7796.076923076923
05-10-2024 07:31:32,7795.635135135135
05-10-2024 07:32:02,7798.031818181818
05-10-2024 07:32:32,7796.886877828054
05-10-2024 07:33:02,7785.931192660551
05-10-2024 07:33:32,7807.545045045045
05-10-2024 07:34:02,7845.900452488688
05-10-2024 07:34:32,7796.704545454545
05-10-2024 07:35:02,7794.058823529412
05-10-2024 07:35:32,7800.388127853881
05-10-2024 07:36:02,7795.950226244344
05-10-2024 07:36:32,7798.570776255708
05-10-2024 07:37:02,7797.68778280543
05-10-2024 07:37:32,7831.563636363637
05-10-2024 07:38:02,7799.304545454545
05-10-2024 07:38:32,8948.85909090909
05-10-2024 07:39:02,8301.610859728507
05-10-2024 07:39:32,7799.995495495496
05-10-2024 07:40:02,7802.725225225226
05-10-2024 07:40:32,7793.981818181818
05-10-2024 07:41:02,7840.463302752293
05-10-2024 07:41:32,7801.411764705882
05-10-2024 07:42:02,7801.131818181818
05-10-2024 07:42:32,7788.769585253456
05-10-2024 07:43:02,7798.58904109589
05-10-2024 07:43:32,7803.701834862385
05-10-2024 07:44:02,7796.585585585585
05-10-2024 07:44:32,7802.447488584475
05-10-2024 07:45:02,7832.281818181818
05-10-2024 07:45:32,7798.630136986301
05-10-2024 07:46:02,7803.108597285068
05-10-2024 07:46:32,7795.9009009009005
05-10-2024 07:47:02,7801.815315315315
05-10-2024 07:47:32,7805.040909090909
05-10-2024 07:48:02,7796.827272727272
05-10-2024 07:48:32,7849.497716894977
05-10-2024 07:49:02,7795.448430493274
05-10-2024 07:49:32,7795.359090909091
05-10-2024 07:50:02,7791.876146788991
05-10-2024 07:50:32,7791.921658986175
05-10-2024 07:51:02,7801.401826484018
05-10-2024 07:51:32,7788.522727272727
05-10-2024 07:52:02,7806.468181818182
05-10-2024 07:52:32,7833.968468468468
05-10-2024 07:53:02,7789.913636363636
05-10-2024 07:53:32,7787.834080717489
05-10-2024 07:54:02,7798.054794520548
05-10-2024 07:54:32,7791.313636363637
05-10-2024 07:55:02,7783.113122171946
05-10-2024 07:55:32,7791.2
05-10-2024 07:56:02,7790.37556561086
05-10-2024 07:56:32,7876.904545454546
05-10-2024 07:57:02,7712.766055045871
05-10-2024 07:57:32,7645.542600896861
05-10-2024 07:58:02,7636.393665158371
05-10-2024 07:58:32,7682.586363636364
05-10-2024 07:59:02,7666.162895927602
05-10-2024 07:59:32,7666.981900452489
05-10-2024 08:00:02,7647.330316742082
05-10-2024 08:00:32,7647.27027027027
05-10-2024 08:01:02,7664.818181818182
05-10-2024 08:01:32,7628.407239819005
05-10-2024 08:02:02,7651.812785388128
05-10-2024 08:02:32,7635.877272727273
05-10-2024 08:03:02,7672.827272727272
05-10-2024 08:03:32,7661.876146788991
05-10-2024 08:04:02,7680.0502283105025
05-10-2024 08:04:32,7673.561643835616
05-10-2024 08:05:02,7632.705882352941
05-10-2024 08:05:32,7659.936363636363
05-10-2024 08:06:02,7655.486363636363
05-10-2024 08:06:32,7652.698630136986
05-10-2024 08:07:02,7653.995412844037
05-10-2024 08:07:32,7665.753424657534
05-10-2024 08:08:02,7629.472972972973
05-10-2024 08:08:32,7646.986425339366
05-10-2024 08:09:02,7669.723981900453
05-10-2024 08:09:32,7653.032258064516
05-10-2024 08:10:02,7650.10407239819
05-10-2024 08:10:32,7686.506849315068
05-10-2024 08:11:02,7661.763636363637
05-10-2024 08:11:32,7666.606334841629
05-10-2024 08:12:02,7673.215596330275
05-10-2024 08:12:32,7652.559633027523
05-10-2024 08:13:02,7642.3607305936075
05-10-2024 08:13:32,7656.990909090909
05-10-2024 08:14:02,7647.724770642202
